"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3383",4099716.087,568629.411,3.736,2.146,1.32,"echo",0.00864
"3384",4099716.576,568630.051,3.869,2.149,1.45,"echo",0.00865
"3385",4099717.07,568630.342,3.737,2.147,1.32,"echo",0.00873
"3386",4099717.459,568630.795,3.921,2.121,1.53,"echo",0.00865
"3387",4099717.962,568631.291,3.939,2.139,1.53,"echo",0.00873
"3388",4099718.486,568631.85,3.652,2.142,1.24,"echo",0.00864
"3389",4099719.141,568632.125,3.555,2.145,1.14,"echo",0.00873
"3390",4099719.662,568632.402,3.485,2.135,1.08,"echo",0.00878
"3391",4099720.013,568632.882,3.646,2.146,1.23,"echo",0.00873
"3392",4099720.378,568633.327,3.686,2.146,1.27,"echo",0.00886
"3393",4099721.018,568633.681,3.799,2.169,1.36,"echo",0.0089
"3397",4099720.292,568633.568,3.781,2.151,1.36,"echo",0.00874
"3398",4099720.016,568633.464,3.657,2.157,1.23,"echo",0.0086
"3399",4099719.64,568633.053,2.988,2.138,0.58,"echo",0.00905
"3400",4099719.375,568632.76,3.774,2.154,1.35,"echo",0.0098
"3401",4099718.905,568632.317,3.957,2.127,1.56,"echo",0.00986
"3402",4099718.485,568632.122,3.945,2.165,1.51,"echo",0.00992
"3403",4099718.102,568631.875,3.66,2.15,1.24,"echo",0.00847
"3404",4099717.66,568631.416,3.653,2.153,1.23,"echo",0.00849
"3405",4099717.27,568630.925,3.902,2.152,1.48,"echo",0.0085
"3406",4099716.779,568630.373,3.733,2.143,1.32,"echo",0.00873
"3407",4099716.346,568630.016,3.683,2.143,1.27,"echo",0.00877
"3408",4099716.083,568629.574,3.649,2.139,1.24,"echo",0.00895
"3409",4099715.905,568628.941,3.653,2.153,1.23,"echo",0.00886
"3410",4099715.508,568628.641,3.65,2.15,1.23,"echo",0.00855
"3411",4099715.206,568628.291,3.521,2.141,1.11,"echo",0.00856
"3412",4099714.967,568627.656,3.722,2.152,1.3,"echo",0.00856
"3413",4099714.475,568627.189,3.75,2.13,1.35,"echo",0.00856
"3414",4099713.982,568626.767,3.446,2.146,1.03,"echo",0.00871
"3415",4099713.526,568626.193,3.516,2.136,1.11,"echo",0.00872
"3416",4099713.073,568625.734,3.679,2.149,1.26,"echo",0.00867
"3417",4099712.539,568625.327,3.488,2.138,1.08,"echo",0.0086
"3418",4099712.006,568624.83,3.524,2.144,1.11,"echo",0.00862
"3419",4099711.479,568624.232,3.614,2.144,1.2,"echo",0.0087
"3420",4099710.936,568623.692,4.406,2.126,2.01,"echo",0.00883
"3421",4099710.391,568623.101,3.636,2.136,1.23,"echo",0.00858
"3422",4099709.876,568622.466,3.631,2.131,1.23,"echo",0.0086
"3423",4099709.288,568621.848,3.502,2.122,1.11,"echo",0.00875
"3424",4099708.771,568621.118,3.687,2.127,1.29,"echo",0.00861
"3425",4099708.411,568620.398,3.422,2.132,1.02,"echo",0.00861
"3426",4099708.256,568619.647,3.714,2.124,1.32,"echo",0.00871
"3427",4099708.331,568619.065,4.301,2.131,1.9,"echo",0.00861
"3428",4099708.629,568619.045,4.254,2.124,1.86,"echo",0.00861
"3429",4099709.091,568619.254,3.486,2.136,1.08,"echo",0.00861
"3430",4099709.379,568619.601,3.762,2.142,1.35,"echo",0.0086
"3431",4099708.885,568619.916,3.301,2.121,0.91,"echo",0.00872
"3432",4099708.181,568619.857,3.534,2.124,1.14,"echo",0.00859
"3433",4099707.708,568619.099,3.534,2.114,1.15,"echo",0.00859
"3434",4099707.27,568618.611,4.038,2.118,1.65,"echo",0.00858
"3435",4099706.9,568617.825,3.685,2.115,1.3,"echo",0.00858
"3436",4099706.094,568617.493,3.776,2.116,1.39,"echo",0.00858
"3437",4099705.308,568617.049,3.641,2.131,1.24,"echo",0.00856
"3438",4099704.43,568616.681,3.56,2.12,1.17,"echo",0.00856
"3439",4099703.682,568616.225,3.479,2.129,1.08,"echo",0.00874
"3440",4099703.096,568615.661,3.65,2.14,1.24,"echo",0.00869
"3442",4099701.79,568614.61,3.751,2.121,1.36,"echo",0.00845
"3443",4099702.071,568614.133,3.572,2.092,1.21,"echo",0.00844
"3444",4099701.718,568613.352,3.601,2.121,1.21,"echo",0.00855
"3445",4099701.113,568612.031,3.613,2.113,1.23,"echo",0.00843
"3446",4099700.408,568610.829,3.806,2.116,1.42,"echo",0.00843
"3447",4099699.413,568609.826,3.004,2.104,0.63,"echo",0.00857
"3448",4099698.405,568609.408,3.959,2.119,1.57,"echo",0.00842
"3449",4099697.47,568608.65,3.908,2.108,1.53,"echo",0.00842
"3450",4099697.3,568607.397,3.719,2.119,1.33,"echo",0.00841
"3451",4099697.619,568606.29,3.69,2.12,1.3,"echo",0.00841
"3452",4099697.777,568605.325,3.881,2.131,1.48,"echo",0.0084
"3453",4099698.656,568604.618,3.616,2.116,1.23,"echo",0.00839
"3454",4099700.075,568604.288,3.017,2.137,0.61,"echo",0.00839
"3455",4099701.556,568604.637,3.014,2.104,0.64,"echo",0.00851
"3456",4099702.771,568605.832,3.066,2.126,0.67,"echo",0.00838
"3457",4099704.202,568606.925,3.039,2.099,0.67,"echo",0.0085
"3458",4099705.596,568608.156,3.083,2.113,0.7,"echo",0.00838
"3459",4099706.889,568609.626,3.097,2.127,0.7,"echo",0.00837
"3460",4099708.131,568610.908,2.98,2.11,0.6,"echo",0.00837
"3461",4099709.417,568612.31,3.863,2.123,1.47,"echo",0.00836
"3462",4099710.814,568613.643,3.702,2.112,1.32,"echo",0.00835
"3463",4099712.193,568614.449,3.623,2.123,1.23,"echo",0.00834
"3464",4099713.587,568615.375,3.67,2.1,1.3,"echo",0.00846
"3465",4099715.088,568615.929,3.632,2.122,1.24,"echo",0.00833
"3466",4099716.557,568616.212,3.786,2.126,1.39,"echo",0.00832
