"North","East","BedSE","Code","Pt.name","VertPrec"
4099657.32,568525.8,3.218,"topo","170",NA
4099649.927,568523.627,3.355,"topo","171",NA
4099643.906,568524.773,3.371,"topo","172",NA
4099645.661,568529.645,3.191,"topo","173",NA
4099647.1,568533.663,2.864,"topo","174",NA
4099645.095,568538.282,2.524,"topo","175",NA
4099641.433,568535.762,2.84,"topo","176",NA
4099637.107,568532.243,3.068,"topo","177",NA
4099632.079,568527.842,3.502,"topo","178",NA
4099627.853,568528.282,3.871,"topo","179",NA
4099624.975,568531.226,4.294,"topo","180",NA
4099620.561,568531.813,4.414,"topo","181",NA
4099623.977,568535.18,4.224,"topo","182",NA
4099626.069,568536.35,4.043,"topo","183",NA
4099628.869,568537.514,3.18,"topo","184",NA
4099629.848,568539.716,2.876,"topo","185",NA
4099627.582,568542.195,3.813,"topo","186",NA
4099625.185,568545.653,3.908,"topo","187",NA
4099629.611,568546.182,3.721,"topo","188",NA
4099632.273,568547.169,2.985,"topo","189",NA
4099631.477,568549.393,3.594,"topo","190",NA
4099628.226,568553.328,3.655,"topo","191",NA
4099630.307,568557.451,3.582,"topo","192",NA
4099634.335,568556.236,3.484,"topo","193",NA
4099636.491,568556.096,3.336,"topo","194",NA
4099638.161,568556.184,2.819,"topo","195",NA
4099639.563,568559,3.01,"topo","196",NA
4099636.649,568560.533,3.38,"topo","197",NA
4099639.669,568561.458,3.373,"rock","198",NA
4099641.468,568561.934,3.741,"rock","199",NA
4099640.916,568563.213,4.377,"rock","200",NA
4099642.546,568565.056,4.7,"rock","201",NA
4099643.632,568564.914,3.489,"rock","202",NA
4099645.486,568561.546,1.969,"topo","203",NA
4099642.636,568559.485,2.363,"topo","204",NA
4099640.742,568556.09,2.066,"topo","205",NA
4099638.532,568553.008,2.115,"topo","206",NA
4099636.82,568550.22,2.076,"topo","207",NA
4099635.458,568548.36,2.133,"topo","208",NA
4099634.025,568545.788,2.048,"topo","209",NA
4099632.748,568543.428,2.05,"topo","210",NA
4099631.838,568539.956,2.006,"topo","211",NA
4099633.874,568539.923,2.11,"topo","212",NA
4099636.701,568541.76,2.222,"topo","213",NA
4099638.959,568542.936,2.226,"topo","214",NA
4099639.957,568541.446,2.602,"topo","215",NA
4099641.843,568543.074,2.095,"topo","216",NA
4099644.075,568542.39,1.884,"topo","217",NA
4099645.382,568540.934,1.852,"topo","218",NA
4099644.958,568539.171,2.387,"topo","219",NA
4099647.803,568539.009,1.72,"topo","220",NA
4099647.898,568537.136,2.18,"topo","221",NA
4099649.321,568535.114,2.469,"topo","222",NA
4099650.637,568536.4,1.763,"topo","223",NA
4099652.596,568534.986,1.848,"topo","224",NA
4099654.419,568533.93,2.318,"topo","225",NA
4099656.405,568534.965,2.033,"topo","226",NA
4099658.552,568533.657,2.468,"topo","227",NA
4099659.763,568535.283,1.991,"topo","228",NA
4099659.757,568537.375,1.858,"topo","229",NA
4099662.196,568535.875,1.966,"topo","230",NA
4099664.016,568533.093,2.068,"topo","231",NA
4099664.354,568529.496,2.068,"topo","232",NA
4099666.346,568530.497,1.952,"topo","233",NA
4099668.458,568533.559,2.135,"topo","234",NA
4099670.544,568535.588,2.342,"topo","235",NA
4099666.473,568538.043,2.012,"topo","236",NA
4099666.972,568540.511,1.777,"topo","237",NA
4099668.988,568539.191,2.132,"topo","238",NA
4099670.895,568537.879,2.412,"topo","239",NA
4099673.61,568536.562,3.645,"rock","244",NA
4099674.424,568535.698,3.871,"rock","245",NA
4099673.728,568533.998,3.698,"rock","246",NA
4099672.152,568533.507,3.341,"rock","247",NA
4099680.955,568548.992,3.034,"rock","248",NA
4099682.634,568549.685,3.423,"rock","249",NA
