Pt name,North,East,Elevation,Code
BASE,4099614.797,568610.85,8.382,base
3,4099623.013,568601.3,8.232,topo
4,4099647.278,568579.172,7.887,cp01
5,4099652.908,568591.758,3.692,topo
6,4099652.92,568591.741,3.687,topo
7,4099657.55,568594.706,3.887,topo
8,4099660.324,568589.728,2.822,topo
9,4099663.744,568592.549,2.714,topo
10,4099663.518,568594.31,3.034,topo
11,4099666.085,568597.979,3.112,topo
12,4099670.557,568602.446,3.111,topo
13,4099674.457,568602.584,2.439,topo
14,4099675.675,568606.607,3.38,topo
15,4099681.296,568608.782,2.722,topo
16,4099683.723,568611.041,3.213,topo
17,4099685.693,568612.599,3.492,topo
18,4099688.951,568613.886,2.839,topo
19,4099691.398,568616.326,3.147,topo
20,4099695.4,568619.014,2.993,topo
21,4099699.62,568623.32,3.118,topo
22,4099705.591,568627.731,3.154,topo
23,4099705.657,568627.8,3.162,topo
24,4099710.356,568632.485,3.104,topo
25,4099711.992,568638.368,3.34,topo
26,4099715.188,568640.789,3.113,topo
27,4099720.306,568644.425,3.229,topo
28,4099723.887,568650.367,3.225,topo
29,4099727.762,568649.513,2.863,topo
30,4099727.801,568654.163,3.178,topo
31,4099733.28,568655.193,3.041,topo
32,4099734.26,568660.646,3.353,topo
33,4099738.119,568661.774,3.191,topo
34,4099739.045,568665.882,3.416,topo
35,4099742.217,568667.176,3.339,topo
36,4099745.385,568672.212,3.368,topo
37,4099746.327,568673.801,3.534,topo
38,4099746.506,568670.987,2.68,wse
39,4099743.712,568667.6,2.739,wse
40,4099740.652,568662.228,2.679,wse
41,4099732.105,568649.105,2.653,wse
42,4099729.272,568647.289,2.683,wse
43,4099723.359,568641.98,2.685,wse
44,4099704.416,568622.671,2.668,wse
45,4099690.814,568613.371,2.691,wse
46,4099681.606,568599.885,2.018,topo
47,4099678.649,568603.679,2.463,topo
48,4099682.149,568606.835,2.481,topo
49,4099682.584,568608.845,2.681,wse
50,4099680.072,568607.395,2.677,wse
51,4099678.564,568603.056,2.432,topo
52,4099675.677,568600.468,2.369,topo
53,4099673.075,568601.985,2.684,wse
54,4099668.406,568597.8,2.654,wse
55,4099664.576,568593.112,2.665,wse
56,4099660.821,568588.97,2.662,wse
57,4099656.872,568582.492,2.692,wse
58,4099659.477,568584.386,2.287,topo
59,4099662.08,568588.626,2.344,topo
60,4099664.666,568589.576,1.966,topo
61,4099666.531,568593.096,2.456,topo
62,4099669.309,568593.332,2.223,topo
63,4099669.659,568596.571,2.318,topo
64,4099672.303,568595.286,2.177,topo
65,4099674.592,568593.992,1.896,topo
66,4099677.072,568595.297,1.942,topo
67,4099680.264,568596.246,1.95,topo
68,4099683.101,568596.553,2.154,topo
69,4099684.053,568599.872,2.175,topo
70,4099688.414,568599.546,2.225,topo
71,4099690.873,568597.433,2.052,topo
72,4099693.956,568599.134,2.053,topo
73,4099692.927,568601.938,2.201,topo
74,4099692.083,568606.223,2.341,topo
75,4099695.387,568608.621,2.273,topo
76,4099699.164,568608.944,2.231,topo
77,4099704.833,568609.715,2.098,topo
78,4099703.989,568613.358,2.381,topo
79,4099703.698,568616.956,2.273,topo
80,4099706.123,568619.439,2.345,topo
81,4099709.294,568617.853,2.373,topo
82,4099712.613,568616.332,2.346,topo
83,4099716.498,568616.031,2.129,topo
84,4099719.942,568617.917,2.045,topo
85,4099717.991,568620.582,2.421,topo
86,4099714.516,568623.258,2.422,topo
87,4099714.427,568626.939,2.341,topo
88,4099717.886,568627.113,2.462,topo
89,4099721.405,568624.968,2.446,topo
90,4099724.175,568623.492,2.422,topo
91,4099726.99,568623.966,2.063,topo
92,4099728.593,568626.786,2.305,topo
93,4099725.648,568629.52,2.383,topo
94,4099722.297,568633.089,2.435,topo
95,4099722.456,568636.051,2.446,topo
96,4099722.853,568638.756,2.348,topo
97,4099723.898,568640.528,2.372,topo
98,4099725.72,568639.334,2.433,topo
99,4099729.397,568636.865,2.343,topo
100,4099732.48,568634.688,2.266,topo
101,4099733.411,568633.291,2.239,topo
102,4099735.678,568632.496,2.211,topo
103,4099737.735,568632.973,1.924,topo
104,4099736.608,568635.997,2.238,topo
105,4099734.28,568640.15,2.246,topo
106,4099731.728,568645.244,2.318,topo
107,4099733.268,568648.247,2.249,topo
108,4099736.994,568647.697,2.205,topo
109,4099742.413,568646.121,2.183,topo
110,4099743.915,568650.738,2.13,topo
111,4099741.095,568656.195,2.16,topo
112,4099740.641,568658.956,2.036,topo
113,4099742.591,568661.577,2.019,topo
114,4099746.49,568661.076,1.898,topo
115,4099747.25,568654.695,1.822,topo
116,4099747.169,568650.42,1.818,topo
117,4099745.962,568645.303,1.844,topo
118,4099743.923,568639.945,1.824,topo
119,4099735.804,568636.061,2.238,topo
120,4099727.676,568629.143,2.371,topo
121,4099721.114,568621.294,2.399,topo
122,4099715.454,568616.164,2.243,topo
123,4099711.887,568612.261,2.084,topo
124,4099708.736,568609.664,1.972,topo
125,4099705.921,568607.558,1.966,topo
126,4099701.779,568603.281,1.883,topo
127,4099697.242,568600.341,1.97,topo
128,4099693.397,568598.748,2.073,topo
129,4099689.988,568596.551,2.008,topo
130,4099686.909,568594.737,1.911,topo
131,4099683.853,568593.56,1.91,topo
132,4099680.318,568593.081,1.952,topo
133,4099677.45,568592.557,1.946,topo
134,4099674.561,568591.821,1.937,topo
135,4099672.49,568591.897,1.927,topo
136,4099669.659,568591.73,1.827,topo
137,4099667.688,568589.102,1.846,topo
138,4099664.631,568587.29,1.809,topo
139,4099662.595,568585.835,1.787,topo
140,4099660.239,568583.643,1.77,topo
141,4099657.868,568580.725,2.084,topo
142,4099656.803,568578.218,2.005,topo
143,4099655.002,568577.359,2.695,wse
144,4099654.574,568575.445,2.676,wse
145,4099653.338,568573.653,2.95,wse
146,4099654.6,568572.321,2.112,topo
147,4099655.673,568572.911,1.729,topo
148,4099641.767,568559.781,2.654,wse
149,4099639.401,568556.763,2.665,wse
150,4099636.295,568552.018,2.678,wse
151,4099634.091,568548.517,2.674,wse
152,4099631.67,568544.108,2.668,wse
153,4099630.231,568539.119,2.682,wse
154,4099633.113,568538.268,2.683,wse
155,4099637.206,568540.907,2.691,wse
156,4099641.419,568539.562,2.652,wse
157,4099644.873,568537.302,2.664,wse
158,4099649.415,568534.023,2.675,wse
159,4099654.183,568532.755,2.676,wse
160,4099658.481,568532.491,2.667,wse
161,4099662.578,568529.117,2.641,wse
162,4099664.39,568523.114,2.676,wse
163,4099667.696,568517.662,2.653,wse
164,4099667.902,568519.255,2.336,topo
165,4099664.802,568518.254,3.087,topo
166,4099658.212,568516.188,3.403,topo
167,4099658.214,568520.88,3.282,topo
168,4099661.39,568523.997,3.192,topo
169,4099661.944,568527.585,2.865,topo
170,4099657.32,568525.8,3.218,topo
171,4099649.927,568523.627,3.355,topo
172,4099643.906,568524.773,3.371,topo
173,4099645.661,568529.645,3.191,topo
174,4099647.1,568533.663,2.864,topo
175,4099645.095,568538.282,2.524,topo
176,4099641.433,568535.762,2.84,topo
177,4099637.107,568532.243,3.068,topo
178,4099632.079,568527.842,3.502,topo
179,4099627.853,568528.282,3.871,topo
180,4099624.975,568531.226,4.294,topo
181,4099620.561,568531.813,4.414,topo
